Page                    Status              Assigned

Launch                  Done                Purva
Login                   Done                Purva
Home                    Done                Pallavi
Create new              Done                Purva
Preview                 In Progress         Pallavi
Activity details        Done                Pallavi
My profile              Done                Purva
Edit profile            Done                Purva
Interested              Done                Pallavi
History                 Done                Pallavi
search                  Done                Purva
Upload image            On Hold             Purva
messages                In progress         Ling
message chat window     In progress         Ling
notifications           Done                Ling
settings                Done                Ling
